"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"34071-52859","P","Jacob","Jacob deGrom","deGrom","58","1","11700","NYM@MIA","NYM","MIA","","","","",""
"34071-5202","P","Justin","Justin Verlander","Verlander","55","1","11500","HOU@TEX","HOU","TEX","","","","",""
"34071-16956","P","Gerrit","Gerrit Cole","Cole","49","1","11300","HOU@TEX","HOU","TEX","","","","",""
"34071-12477","P","Chris","Chris Sale","Sale","0","1","10700","BOS@OAK","BOS","OAK","","","","",""
"34071-68488","P","Blake","Blake Snell","Snell","12","1","10200","COL@TAM","TAM","COL","","","","",""
"34071-52172","P","Noah","Noah Syndergaard","Syndergaard","27","1","10000","NYM@MIA","NYM","MIA","","","","",""
"34071-73880","P","German","German Marquez","Marquez","46","1","9800","COL@TAM","COL","TAM","","","","",""
"34071-5427","P","Clayton","Clayton Kershaw","Kershaw","34.666666666666664","27","9800","SFG@LOS","LOS","SFG","IL","Shoulder","","",""
"34071-79168","P","Walker","Walker Buehler","Buehler","35.208333333333336","24","9700","SFG@LOS","LOS","SFG","","","","",""
"34071-6311","P","Madison","Madison Bumgarner","Bumgarner","46","1","9400","SFG@LOS","SFG","LOS","","","","",""
"34071-60632","P","Kyle","Kyle Freeland","Freeland","43","1","9300","COL@TAM","COL","TAM","","","","",""
"34071-5784","P","David","David Price","Price","33.9","30","9300","BOS@OAK","BOS","OAK","DTD","Illness","","Yes",""
"34071-38272","P","Mike","Mike Foltynewicz","Foltynewicz","35.70967741935484","31","9100","CHC@ATL","ATL","CHC","IL","Elbow","","",""
"34071-16960","P","Zack","Zack Wheeler","Wheeler","35.41379310344828","29","9100","NYM@MIA","NYM","MIA","","","","",""
"34071-53398","P","Kyle","Kyle Hendricks","Hendricks","30.424242424242426","33","9000","CHC@ATL","CHC","ATL","","","","Yes",""
"34071-5522","P","Zack","Zack Greinke","Greinke","-1","1","8900","ARI@SDP","ARI","SDP","","","","",""
"34071-52142","P","Eduardo","Eduardo Rodriguez","Rodriguez","13","1","8900","BOS@OAK","BOS","OAK","","","","",""
"34071-5983","P","Rich","Rich Hill","Hill","31.68","25","8800","SFG@LOS","LOS","SFG","IL","Knee","","",""
