"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"34047-9642","PG","Russell","Russell Westbrook","Westbrook","54.20294189453125","68","11600","DAL@OKC","OKC","DAL","","","","",""
"34047-9488","SF","LeBron","LeBron James","James","51.81428745814732","56","10900","LAL@NO","LAL","NO","O","Groin","","",""
"34047-12341","SF","Paul","Paul George","George","49.06575409353596","73","10200","DAL@OKC","OKC","DAL","","","","",""
"34047-84669","SG","Luka","Luka Doncic","Doncic","39.852112676056336","71","9800","DAL@OKC","DAL","OKC","O","Thigh","","",""
"34047-42669","PF","Julius","Julius Randle","Randle","37.46857212611607","70","8800","LAL@NO","NO","LAL","","","","",""
"34047-9739","C","JaVale","JaVale McGee","McGee","27.95507281759511","69","7700","LAL@NO","LAL","NO","","","","",""
"34047-19138","PG","Elfrid","Elfrid Payton","Payton","29.77837969805743","37","7600","LAL@NO","NO","LAL","","","","",""
"34047-15755","PF","Anthony","Anthony Davis","Davis","55.23859820449562","57","7400","LAL@NO","NO","LAL","GTD","Back","","",""
"34047-16196","PF","Dwight","Dwight Powell","Powell","21.37042322293134","71","7100","DAL@OKC","DAL","OKC","","","","",""
"34047-9455","PG","Rajon","Rajon Rondo","Rondo","28.109523228236608","42","6900","LAL@NO","LAL","NO","","","","",""
"34047-23169","C","Steven","Steven Adams","Adams","33.431079761402025","74","6600","DAL@OKC","OKC","DAL","","","","",""
"34047-58377","PF","Kyle","Kyle Kuzma","Kuzma","30.276057713468308","71","6400","LAL@NO","LAL","NO","","","","",""
"34047-84690","PG","Jalen","Jalen Brunson","Brunson","16.746268656716417","67","5900","DAL@OKC","DAL","OKC","","","","",""
"34047-15636","SG","Kentavious","Kentavious Caldwell-Pope","Caldwell-Pope","17.961841784025495","76","5800","LAL@NO","LAL","NO","","","","",""
"34047-42202","PF","Christian","Christian Wood","Wood","11.206250190734863","16","5800","LAL@NO","NO","LAL","","","","",""
"34047-23831","PF","Jerami","Jerami Grant","Grant","26.491892221811657","74","5700","DAL@OKC","OKC","DAL","","","","",""
"34047-80824","PG","Frank","Frank Jackson","Jackson","12.988524390048669","61","5600","LAL@NO","NO","LAL","O","Concussion","","",""
"34047-85305","SF","Kenrich","Kenrich Williams","Williams","16.914634146341463","41","5400","LAL@NO","NO","LAL","","","","",""
"34047-40201","SG","Dennis","Dennis Schroder","Schroder","26.478082526220035","73","5200","DAL@OKC","OKC","DAL","","","","",""
"34047-12369","SF","Lance","Lance Stephenson","Stephenson","15.078461162860577","65","4900","LAL@NO","LAL","NO","","","","",""
"34047-81621","PF","Maxi","Maxi Kleber","Kleber","18.022727272727273","66","4900","DAL@OKC","DAL","OKC","","","","",""
"34047-17747","SG","Ian","Ian Clark","Clark","9.361818625710228","55","4400","LAL@NO","NO","LAL","","","","",""
"34047-58350","SF","Stanley","Stanley Johnson","Johnson","14.982812881469727","64","4300","LAL@NO","NO","LAL","","","","",""
"34047-23981","PG","Alex","Alex Caruso","Caruso","13.394736842105264","19","4000","LAL@NO","LAL","NO","","","","",""
"34047-58134","SF","Justin","Justin Jackson","Jackson","12.649999670080236","74","3900","DAL@OKC","DAL","OKC","","","","",""
"34047-58083","C","Jahlil","Jahlil Okafor","Okafor","15.537037037037036","54","3900","LAL@NO","NO","LAL","","","","",""
"34047-9613","PG","Devin","Devin Harris","Harris","11.946774390435987","62","3800","DAL@OKC","DAL","OKC","","","","",""
"34047-66091","PF","Cheick","Cheick Diallo","Diallo","14.672881562831039","59","3800","LAL@NO","NO","LAL","","","","",""
"34047-15762","SF","Darius","Darius Miller","Miller","15.501448921535326","69","3700","LAL@NO","NO","LAL","O","Hip","","",""
"34047-85241","PF","Johnathan","Johnathan Williams","Williams","10.627777947319878","18","3700","LAL@NO","LAL","NO","","","","",""
"34047-23825","C","Nerlens","Nerlens Noel","Noel","16.778873927156692","71","3600","DAL@OKC","OKC","DAL","","","","",""
"34047-64017","C","Salah","Salah Mejri","Mejri","8.97999979654948","30","3600","DAL@OKC","DAL","OKC","","","","",""
"34047-9500","PF","Dirk","Dirk Nowitzki","Nowitzki","11.460000271267361","45","3600","DAL@OKC","DAL","OKC","","","","",""
"34047-80820","SG","Terrance","Terrance Ferguson","Ferguson","12.07647076775046","68","3600","DAL@OKC","OKC","DAL","","","","",""
"34047-15843","PG","Trey","Trey Burke","Burke","17.54901960784314","51","3600","DAL@OKC","DAL","OKC","","","","",""
"34047-17894","C","Mike","Mike Muscala","Muscala","14.536206475619611","58","3600","LAL@NO","LAL","NO","","","","",""
"34047-84714","C","Moritz","Moritz Wagner","Wagner","7.772973137932855","37","3600","LAL@NO","LAL","NO","","","","",""
"34047-40562","SG","Josh","Josh Hart","Hart","18.150745904267723","67","3600","LAL@NO","LAL","NO","O","Knee","","",""
