,c,pf1,pf2,sf1,sf2,sg1,sg2,pg1,pg2,points,salary
0,Willie Cauley-Stein,PJ Tucker,Kenneth Faried,Nemanja Bjelica,Kevin Durant,Kent Bazemore,James Harden,Kyrie Irving,Stephen Curry,312.1106589415148,59900
1,Willie Cauley-Stein,PJ Tucker,Kenneth Faried,Nemanja Bjelica,Kevin Durant,James Harden,Kent Bazemore,Kyrie Irving,Damian Lillard,311.40312004989505,60000
2,DeAndre Jordan,Kenneth Faried,Marcus Morris,Nemanja Bjelica,Kevin Durant,Kent Bazemore,James Harden,Kyrie Irving,Chris Paul,311.25974227809843,60000
3,Willie Cauley-Stein,Kenneth Faried,PJ Tucker,Jeff Green,Kevin Durant,Kent Bazemore,James Harden,Kyrie Irving,Stephen Curry,310.938658615994,60000
100,DeAndre Jordan,Kenneth Faried,Marcus Morris,Kevin Durant,Wilson Chandler,Kent Bazemore,James Harden,Kyrie Irving,Stephen Curry,310.6223773438435,59900
101,DeAndre Jordan,Kenneth Faried,Marcus Morris,Kevin Durant,Wilson Chandler,James Harden,Kent Bazemore,Kyrie Irving,Damian Lillard,309.91483845222376,60000
4,DeAndre Jordan,Bobby Portis,Marcus Morris,Kevin Durant,Nemanja Bjelica,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,309.7175414912131,60000
5,DeAndre Jordan,Marcus Morris,Kenneth Faried,Harrison Barnes,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,309.6952388453333,60000
6,Willie Cauley-Stein,Kenneth Faried,Marcus Morris,Kevin Durant,Nemanja Bjelica,James Harden,Alec Burks,Stephen Curry,Kyrie Irving,309.3541493010056,60000
7,DeAndre Jordan,Kenneth Faried,Jayson Tatum,Kevin Durant,Nemanja Bjelica,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,309.29208934313755,60000
8,Willie Cauley-Stein,Kenneth Faried,Marcus Morris,Kevin Durant,Nemanja Bjelica,Kent Bazemore,James Harden,Chris Paul,Stephen Curry,309.153304475137,59900
9,DeAndre Jordan,Kenneth Faried,PJ Tucker,Kevin Durant,Nemanja Bjelica,James Harden,Alec Burks,Stephen Curry,Kyrie Irving,308.6530289814461,60000
10,Willie Cauley-Stein,Kenneth Faried,Marcus Morris,Kevin Durant,Nemanja Bjelica,Kent Bazemore,James Harden,Kyrie Irving,Chris Paul,308.61842955487396,59700
11,Willie Cauley-Stein,Kenneth Faried,Aaron Gordon,Nemanja Bjelica,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,308.60264204296436,60000
12,Willie Cauley-Stein,Kenneth Faried,Marcus Morris,Kevin Durant,Nemanja Bjelica,James Harden,Billy Garrett,Kyrie Irving,Stephen Curry,308.58540006394503,60000
13,Willie Cauley-Stein,Kenneth Faried,Marcus Morris,Kevin Durant,Nemanja Bjelica,James Harden,Iman Shumpert,Stephen Curry,Kyrie Irving,308.5231046192689,60000
14,DeAndre Jordan,Kenneth Faried,PJ Tucker,Kevin Durant,Nemanja Bjelica,Kent Bazemore,James Harden,Chris Paul,Stephen Curry,308.4521841555776,59900
15,Willie Cauley-Stein,Kenneth Faried,Marcus Morris,Kevin Durant,Nemanja Bjelica,James Harden,Kent Bazemore,Damian Lillard,Chris Paul,308.4457655835173,60000
16,Willie Cauley-Stein,Kenneth Faried,Montrezl Harrell,Kevin Durant,Nemanja Bjelica,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,308.4268519589286,59800
17,DeAndre Jordan,Marcus Morris,Kenneth Faried,Harrison Barnes,Kevin Durant,Bogdan Bogdanovic,Bradley Beal,Stephen Curry,Kyrie Irving,308.34000684474614,59800
18,Willie Cauley-Stein,Marcus Morris,PJ Tucker,Nemanja Bjelica,Kevin Durant,Kent Bazemore,James Harden,Kyrie Irving,Chris Paul,308.3362060441317,59900
19,DeAndre Jordan,Kenneth Faried,Marcus Morris,Nemanja Bjelica,Kevin Durant,James Harden,Bradley Beal,Tim Frazier,Kyrie Irving,308.1508731810059,59900
20,Willie Cauley-Stein,Montrezl Harrell,PJ Tucker,Nemanja Bjelica,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,308.1446284481864,60000
21,DeAndre Jordan,PJ Tucker,Marcus Morris,Harrison Barnes,Kevin Durant,Bogdan Bogdanovic,Bradley Beal,Stephen Curry,Kyrie Irving,308.057783334004,60000
22,Willie Cauley-Stein,Marcus Morris,Kenneth Faried,Kevin Durant,Gary Harris,Kent Bazemore,James Harden,Kyrie Irving,Chris Paul,308.04961408901744,59900
23,Willie Cauley-Stein,Marcus Morris,Kenneth Faried,Jeff Green,Kevin Durant,Kent Bazemore,James Harden,Chris Paul,Stephen Curry,307.9813041496162,60000
24,DeAndre Jordan,Marcus Morris,Kenneth Faried,Kevin Durant,Taurean Prince,James Harden,Kent Bazemore,Eric Bledsoe,Stephen Curry,307.9242254008165,60000
25,DeAndre Jordan,Kenneth Faried,PJ Tucker,Kevin Durant,Nemanja Bjelica,Kent Bazemore,James Harden,Kyrie Irving,Chris Paul,307.91730923531446,59700
26,DeAndre Jordan,Kenneth Faried,PJ Tucker,Kevin Durant,Nemanja Bjelica,James Harden,Billy Garrett,Kyrie Irving,Stephen Curry,307.88427974438554,60000
27,Willie Cauley-Stein,Montrezl Harrell,Kenneth Faried,Gary Harris,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,307.85803649307206,60000
28,DeAndre Jordan,Kenneth Faried,PJ Tucker,Kevin Durant,Nemanja Bjelica,James Harden,Iman Shumpert,Stephen Curry,Kyrie Irving,307.8219842997094,60000
29,DeAndre Jordan,Kenneth Faried,Marcus Morris,Will Barton,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Stephen Curry,307.78611372490633,60000
30,DeAndre Jordan,Kenneth Faried,PJ Tucker,Kevin Durant,Nemanja Bjelica,James Harden,Kent Bazemore,Damian Lillard,Chris Paul,307.74464526395786,60000
31,Willie Cauley-Stein,Kenneth Faried,Montrezl Harrell,Kevin Durant,Nemanja Bjelica,Kent Bazemore,Bradley Beal,Damian Lillard,Kyrie Irving,307.7193130673088,59900
32,Willie Cauley-Stein,Kenneth Faried,Marcus Morris,Kevin Durant,Nemanja Bjelica,Bradley Beal,James Harden,De'Anthony Melton,Kyrie Irving,307.68127149272345,60000
33,DeAndre Jordan,Kenneth Faried,Marcus Morris,Nemanja Bjelica,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Stephen Curry,307.66344709892974,59500
34,DeAndre Jordan,Marcus Morris,Kenneth Faried,Harrison Barnes,Kevin Durant,Bogdan Bogdanovic,Bradley Beal,Kyrie Irving,Damian Lillard,307.63246795312637,59900
35,Willie Cauley-Stein,Marcus Morris,Kenneth Faried,Harrison Barnes,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Stephen Curry,307.58880104237187,59900
36,DeAndre Jordan,Marcus Morris,Al-Farouq Aminu,Harrison Barnes,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,307.49238388144255,59200
37,Willie Cauley-Stein,Marcus Morris,Kenneth Faried,Jeff Green,Kevin Durant,Kent Bazemore,James Harden,Kyrie Irving,Chris Paul,307.4464292293531,59800
38,Willie Cauley-Stein,Kenneth Faried,Draymond Green,Kevin Durant,Nemanja Bjelica,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,307.4431025692801,59800
39,DeAndre Jordan,Marcus Morris,Kenneth Faried,Kevin Durant,Taurean Prince,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,307.3893504805534,59800
40,DeAndre Jordan,Marcus Morris,PJ Tucker,Nemanja Bjelica,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Stephen Curry,307.3812235881876,59700
41,DeAndre Jordan,PJ Tucker,Kenneth Faried,Gary Harris,Kevin Durant,Kent Bazemore,James Harden,Kyrie Irving,Chris Paul,307.34849376945795,59900
42,DeAndre Jordan,Marcus Morris,Al-Farouq Aminu,Harrison Barnes,Kevin Durant,Bradley Beal,Kent Bazemore,Stephen Curry,Damian Lillard,307.3197199100859,59500
43,Willie Cauley-Stein,Marcus Morris,Marvin Bagley III,Nemanja Bjelica,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,307.31181579945206,59900
44,DeAndre Jordan,Kenneth Faried,PJ Tucker,Kevin Durant,Jeff Green,Kent Bazemore,James Harden,Chris Paul,Stephen Curry,307.2801838300567,60000
45,Willie Cauley-Stein,Montrezl Harrell,Kenneth Faried,Jeff Green,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,307.2548516334077,59900
46,DeAndre Jordan,Kenneth Faried,Marcus Morris,Will Barton,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,307.2512388046432,59800
47,Willie Cauley-Stein,Marcus Morris,PJ Tucker,Jeff Green,Kevin Durant,Kent Bazemore,James Harden,Kyrie Irving,Chris Paul,307.1642057186109,60000
48,Willie Cauley-Stein,PJ Tucker,Draymond Green,Nemanja Bjelica,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,307.16087905853794,60000
49,DeAndre Jordan,Kenneth Faried,Marcus Morris,Nemanja Bjelica,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,307.1285721786666,59300
50,DeAndre Jordan,PJ Tucker,Marcus Morris,Taurean Prince,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,307.10712696981125,60000
51,DeAndre Jordan,Marcus Morris,Kenneth Faried,Kevin Durant,Gary Harris,James Harden,Kent Bazemore,Eric Bledsoe,Stephen Curry,307.0946316330733,59700
52,Willie Cauley-Stein,Bobby Portis,Marcus Morris,Kevin Durant,Nemanja Bjelica,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,307.0762287679886,59700
53,Willie Cauley-Stein,Marcus Morris,Kenneth Faried,Harrison Barnes,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,307.0539261221088,59700
54,DeAndre Jordan,Kenneth Faried,PJ Tucker,Kevin Durant,Nemanja Bjelica,Bradley Beal,James Harden,De'Anthony Melton,Kyrie Irving,306.980151173164,60000
55,DeAndre Jordan,Marcus Morris,Kenneth Faried,Jeff Green,Kevin Durant,James Harden,Bradley Beal,Tim Frazier,Kyrie Irving,306.9788728554851,60000
56,DeAndre Jordan,Marcus Morris,PJ Tucker,Will Barton,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,306.969015293901,60000
57,DeAndre Jordan,Kenneth Faried,Marcus Morris,Nemanja Bjelica,Kevin Durant,Kent Bazemore,James Harden,Damian Lillard,Eric Bledsoe,306.95590820731,59600
58,DeAndre Jordan,Bobby Portis,Kenneth Faried,Taurean Prince,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.91811026105813,60000
59,Willie Cauley-Stein,Bobby Portis,Marcus Morris,Kevin Durant,Nemanja Bjelica,Bradley Beal,Kent Bazemore,Stephen Curry,Damian Lillard,306.90356479663194,60000
60,DeAndre Jordan,Kenneth Faried,Marvin Bagley III,Nemanja Bjelica,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.89291899063477,59700
61,DeAndre Jordan,Kenneth Faried,PJ Tucker,Harrison Barnes,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Stephen Curry,306.88768072281243,59900
62,Willie Cauley-Stein,Marcus Morris,Kenneth Faried,Harrison Barnes,Kevin Durant,Kent Bazemore,James Harden,Damian Lillard,Eric Bledsoe,306.88126215075215,60000
63,Willie Cauley-Stein,Draymond Green,Kenneth Faried,Gary Harris,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.8742871034236,60000
64,DeAndre Jordan,Marcus Morris,PJ Tucker,Nemanja Bjelica,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,306.8463486679244,59500
65,DeAndre Jordan,PJ Tucker,Marcus Morris,Kevin Durant,Gary Harris,James Harden,Kent Bazemore,Eric Bledsoe,Stephen Curry,306.8124081223311,59900
66,DeAndre Jordan,Marcus Morris,Al-Farouq Aminu,Harrison Barnes,Kevin Durant,Kent Bazemore,Bradley Beal,Damian Lillard,Kyrie Irving,306.7848449898228,59300
67,DeAndre Jordan,Kenneth Faried,Bobby Portis,Kevin Durant,Will Barton,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.7799985851479,60000
